destination_name,country,climate,avg_temp,cost_index,safety_score,tourism_density,activities,num_reviews,best_season,tags,budget_tier,travel_style,keyword_label,secondary_styles,labeling_confidence
Luang Prabang,Laos,tropical,26.0,4,6,4,"shopping,food,wildlife,nightlife,cycling",40,Oct-Apr,"UNESCO,temple,culture,heritage,traditional,monastery,shrine,history,monument,colonial",budget,culture,culture,"family,budget",low
Vang Vieng,Laos,tropical,26.0,3,7,4,"nightlife,food,cycling,shopping,kayaking",30,Oct-May,"tubing,kayaking,rock-climbing,cave,adventure,trekking,budget,cheap,backpacking,hostel",budget,adventure,adventure,"budget,family",low
Vientiane,Laos,tropical,27.0,5,6,4,"shopping,cycling,temples,museums,food",40,Oct-Apr,"temple,culture,heritage,traditional,museum,monument,colonial,shrine,ancient,history",budget,culture,culture,"family,relaxation",low
4000 Islands,Laos,tropical,28.0,1,7,2,,50,Oct-May,"peaceful,hammock,tranquil,budget,calm,quiet,serene,cheap,affordable,island",budget,relaxation,relaxation,budget,medium
Nong Khiaw,Laos,tropical,27.0,4,8,3,"food,hiking,shopping,climbing,cycling",18,Oct-Apr,"peaceful,quiet,serene,remote,tranquil,calm,trekking,river,mountain,zen",budget,relaxation,budget,,low
Plain of Jars,Laos,highland,20.0,7,10,4,"cycling,shopping",13,Oct-Apr,"ancient,UNESCO,heritage,mysterious,cultural,monument,history,ruins,traditional",budget,culture,budget,,low
Luang Namtha,Laos,highland,22.0,4,10,3,"hiking,shopping,food,cycling,kayaking",21,Oct-Apr,"trekking,hiking,adventure,remote,tribal,expedition,cycling,wildlife,mountain",budget,adventure,budget,,low
Pakse,Laos,tropical,28.0,4,6,4,"shopping,food,cycling,hiking,museums",40,Oct-Apr,"trekking,hiking,cycling,adventure,waterfall,coffee,expedition,mountain,kayaking",budget,adventure,culture,"adventure,budget",low
Paro,Bhutan,highland,10.0,4,10,3,"temples,food,shopping,hiking,museums",16,"Mar-May,Sep-Nov","temple,monastery,trekking,heritage,culture,traditional,ancient,shrine,UNESCO,hiking",luxury,culture,budget,,low
Thimphu,Bhutan,highland,10.0,4,10,3,"shopping,food,nightlife,temples,museums",40,"Mar-May,Sep-Nov","culture,museum,monastery,heritage,traditional,temple,ancient,monument,shrine,UNESCO",luxury,culture,culture,"relaxation,family",low
Punakha,Bhutan,highland,16.0,4,7,3,"hiking,food,temples",11,"Mar-May,Sep-Nov","monastery,temple,culture,heritage,traditional,ancient,monument,shrine,fortress",luxury,culture,budget,,low
Colombo,Sri Lanka,tropical,27.0,3,10,4,"food,shopping,museums,nightlife,temples",40,Dec-Apr,"culture,temple,history,heritage,colonial,traditional,market,monument,shrine,ancient",budget,culture,culture,"family,luxury",low
Galle,Sri Lanka,tropical,27.0,4,10,4,"shopping,food,beaches,temples,nightlife",23,Dec-Apr,"Dutch,UNESCO,heritage,colonial,architecture,culture,fort,monument,history,beach,traditional",mid,culture,budget,,low
Sigiriya,Sri Lanka,tropical,27.0,5,10,3,"wildlife,nightlife,temples,climbing,food",18,Jan-Apr,"ancient,ruins,trekking,climbing,adventure,heritage,UNESCO,monument,history,expedition",mid,adventure,budget,,low
